Item,Specific part,Unit Price (inr),Quantity,Total Price ₹,Total Price $,URL,Running Total ₹,Running Total $
Control Board for motors,ESP32,₹589.00,2,"₹1,178.00",$12.42,https://www.amazon.in/SquadPixel-ESP-32-Bluetooth-Development-Board/dp/B071XP56LM/ref=sr_1_2?crid=1DB18TWXHT64F&dib=eyJ2IjoiMSJ9.7tHski1_or_OvY6xQRgEf-AJs3OUhV7ZdzXc0Obc9YP4kvPpc1oLBq0zUI2L6Bp2U_VBEFeNf9hIrVxYdYFe37K9e0VbkSfFIqD6Y6qCfsuLKl8qhbuVtdeVOSWtOHLXVzhu2JNyNZH3XD5hzKNjKkNla6ZplYY5n4-MmLigt0Ebb92oEwiiH8Z1q0imSLV6gGBSj-8CMLMVlhlh0b4zoU0ahL15BUr0T4PDxCMF5Z_Oq-o4XBN4enprlz70zeRl6wINhQ2hitzAz5Ve_2aCB6IWtbic5sHp5GqzxWZrpX8.1SIQMXip-dlcwOIPKbZg0adfgNB8zQz2CRSgbj2aqoQ&dib_tag=se&keywords=esp32+devkit+v1&qid=1782751207&s=industrial&sprefix=esp32+dev%2Cindustrial%2C314&sr=1-2,"₹12,714.00",$134.09
Main Control Board,Raspberry pi 5,₹0.00,1,₹0.00,$0.00,,"₹12,714.00",$134.09
Springs,Stainless Steel Mini Compression Springs,₹1.00,110,₹110.00,$1.16,https://www.indiamart.com/proddetail/mini-compression-springs-21559716612.html?utm_medium=prd_ads&utm_campaign=22486366449&utm_ad_group=202576351852&utm_content=product&utm_source=google&gclsrc=aw.ds&gad_source=1&gad_campaignid=22486366449&gclid=Cj0KCQjwr4jSBhCSARIsAOX1E-I4u_rEpNtxYpND3rpCS6pig6dCLbhtsXnaPAd6cAHMuX80MDCoqcYaAj8UEALw_wcB,"₹12,824.00",$135.25
Camera ,Phone camera + ipad camera (already have),₹0.00,1,₹0.00,$0.00,,"₹12,824.00",$135.25
Resin,Fast Curing UV Epoxy Resin,₹399.00,4,"₹1,596.00",$16.83,https://www.amazon.in/Resin-Hard-Type-Crystal-Clear/dp/B0GYFDFBJT?th=1,"₹14,420.00",$152.08
UV light,Ultra Violet LED UV Light 390-395nm Purple ,₹289.00,2,₹578.00,$6.10,https://www.amazon.in/Invento-Violet-390-395nm-Purple-Projects/dp/B07GD1G6H3/ref=sr_1_42?crid=3FFMIB4GTE2NQ&dib=eyJ2IjoiMSJ9.-0sRItoAZHqg9DhaTn_eb9PmJbZ9qW4ITSWnLCecbvN3PQOBDA2bwqL7qDGKXmGkLEfYcwZ1jRyyqUVeEP-CdVdrPaE6IFW_ODcZURScDhBHsGZshUIs8DUfPA7do8_oKyC7Oa6mMaLWB_vUkx1dLrvyR2mLfPMkgWZwhD94j97OoNlAKRX08tdnfqDnpt83iZNScQ5s_fKBLKnLtF4JCj5D5E4ql-GFmRxwMB89TdMr8UNKQzRbjmw0DMBeLLo0786lj6Oirei3shOg2S5xcpj69bOCz4lC0FBWRJxxoZ0.a5j3wMdOJoUNxmgL8RbHXcWWEJ188S1JxUK811UAIVw&dib_tag=se&keywords=uv+led&qid=1787293175&sprefix=uv+led%2Caps%2C276&sr=8-42,"₹14,998.00",$158.18
3D Printing,lots of parts (mostly self funded),₹0.00,1,₹0.00,$0.00,,"₹14,998.00",$158.18
Control Panel Board,Arduino Uno (alr have),₹0.00,1,₹0.00,$0.00,,"₹14,998.00",$158.18
Control Panel Display,Scrapped from Ender 3 LCD,₹0.00,1,₹0.00,$0.00,,"₹14,998.00",$158.18
Control Panel Touchscreen,3.5 inch 4 Wire Resistive Touch Screen Panel,₹150.00,1,₹150.00,$1.58,https://kitsguru.com/products/3-5-inch-4-wire-resistive-touch-screen-panel?variant=40708852580533&country=IN&currency=INR.com,"₹15,148.00",$159.76
Control Panel Touch controller,5767 TSC2046 SPI Resistive Touch,₹581.00,1,₹581.00,$6.13,https://www.fabtolab.com/adafruit-5767-tsc2046-spi-resistive-touch-screen-controller,"₹15,729.00",$165.88
